Number,Species,visits,visits,Plot,Transect,Subplot,Plot_Trans,survey,Date,Observer,Weather,Vegetation,Leaf_Litter,Humidity,Temp,Precip,tpi_100,elev,Slope,Aspect,solar,twi_10,Lat,Long,bearing,Comments
1,EWIL,3,3,1,1,0-5,1-1,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,5-10,1-1,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,10-15,1-1,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,15-20,1-1,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,20-25,1-1,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,0-5,1-1,4,07/15/2012,DJH,Clear,Damp,Damp,87.6,20,3.324089766,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,5-10,1-1,4,07/15/2012,DJH,Clear,Damp,Damp,87.6,20,3.324089766,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,10-15,1-1,4,07/15/2012,DJH,Clear,Damp,Damp,87.6,20,3.324089766,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,15-20,1-1,4,07/15/2012,DJH,Clear,Damp,Damp,87.6,20,3.324089766,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,20-25,1-1,4,07/15/2012,DJH,Clear,Damp,Damp,87.6,20,3.324089766,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,0-5,1-1,5,07/19/2012,WEP,Rain,Wet,Wet,96,22.4,4.982352734,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,5-10,1-1,5,07/19/2012,WEP,Rain,Wet,Wet,96,22.4,4.982352734,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,10-15,1-1,5,07/19/2012,WEP,Rain,Wet,Wet,96,22.4,4.982352734,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,15-20,1-1,5,07/19/2012,WEP,Rain,Wet,Wet,96,22.4,4.982352734,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,1,20-25,1-1,5,07/19/2012,WEP,Rain,Wet,Wet,96,22.4,4.982352734,-0.49468994141,608.45794677700,4.28704786301,242.53874206500,0,-2.87114787102,35.502733,-83.298228,20,
0,NA,3,3,1,2,0-5,1-2,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.04364013672,608.94580078100,6.15462827682,248.17051696800,0,-7.23165273666,35.502578,-83.298054,20,
0,NA,3,3,1,2,5-10,1-2,3,07/12/2012,WEP,Clear,Damp,Damp,87.8,21.4,17.5364418,-0.04364013672,608.94580078100,6.15462827682,248.17051696800,0,-7.23165273666,35.502578,-83.298054,20,
